port,arrival_time,start_time,id,delay_time
7,870,950,1,80
10,630,1010,2,380
15,1320,1650,3,330
19,230,2070,4,1840
10,400,560,5,160
8,160,920,6,760
8,850,10110,7,9260
12,370,4540,8,4170
9,350,350,9,0
5,1280,2580,10,1300
2,100,100,11,0
6,1360,1410,12,50
8,920,2690,13,1770
16,700,1090,14,390
11,590,3320,15,2730
3,150,150,16,0
5,800,1790,17,990
8,170,5570,18,5400
0,800,1500,19,700
17,1230,1660,20,430
12,180,400,21,220
15,630,1060,22,430
2,1270,5230,23,3960
8,510,580,24,70
6,250,250,25,0
4,1070,2490,26,1420
17,170,490,27,320
10,1300,2680,28,1380
0,560,2020,29,1460
6,1030,2560,30,1530
9,920,1920,31,1000
4,330,3440,32,3110
16,1030,1030,33,0
7,80,80,34,0
10,360,360,35,0
7,620,3170,36,2550
3,200,480,37,280
10,380,450,38,70
19,590,1000,39,410
2,1040,1190,40,150
12,650,6080,41,5430
2,460,860,42,400
8,500,15660,43,15160
9,1140,1370,44,230
6,160,680,45,520
9,110,110,46,0
3,500,3180,47,2680
16,610,610,48,0
12,870,2190,49,1320
16,1280,4850,50,3570
8,1310,13370,51,12060
15,180,180,52,0
2,1420,6160,53,4740
12,1070,1520,54,450
15,1330,1740,55,410
4,120,120,56,0
10,1410,1680,57,270
9,1340,6310,58,4970
2,500,3750,59,3250
4,1370,5480,60,4110
16,140,2060,61,1920
6,20,20,62,0
17,250,3890,63,3640
9,820,870,64,50
10,640,3250,65,2610
17,540,1000,66,460
16,760,2770,67,2010
6,760,3510,68,2750
8,760,3970,69,3210
17,970,3030,70,2060
0,50,50,71,0
2,1260,1410,72,150
8,800,4760,73,3960
5,90,90,74,0
19,560,580,75,20
19,1090,3810,76,2720
7,1140,2390,77,1250
5,600,600,78,0
16,1060,1490,79,430
2,640,960,80,320
8,160,16820,81,16660
4,780,4440,82,3660
11,1360,2380,83,1020
0,460,1060,84,600
12,50,50,85,0
19,1430,1770,86,340
2,570,1800,87,1230
0,180,2590,88,2410
7,1270,1790,89,520
8,1200,1270,90,70
10,500,1190,91,690
8,680,780,92,100
15,680,3820,93,3140
8,1400,6380,94,4980
11,730,1510,95,780
4,620,1160,96,540
12,1370,1860,97,490
4,590,1370,98,780
0,890,3170,99,2280
17,150,150,100,0
4,660,1830,101,1170
8,1340,11180,102,9840
8,970,3250,103,2280
3,770,2340,104,1570
10,1080,2130,105,1050
8,830,1670,106,840
2,1070,2200,107,1130
15,320,2120,108,1800
2,290,3170,109,2880
11,20,20,110,0
6,440,4640,111,4200
19,740,2850,112,2110
17,200,290,113,90
12,420,1010,114,590
10,880,4050,115,3170
16,200,200,116,0
0,1120,4690,117,3570
10,130,5000,118,4870
17,960,2180,119,1220
11,170,170,120,0
2,820,2610,121,1790
8,790,14510,122,13720
12,1180,3940,123,2760
17,1340,4860,124,3520
16,390,3800,125,3410
8,830,7240,126,6410
12,260,5180,127,4920
11,380,1190,128,810
11,980,4330,129,3350
9,1200,1620,130,420
5,1030,3440,131,2410
9,1300,2650,132,1350
0,610,5540,133,4930
19,60,60,134,0
9,420,5230,135,4810
9,120,4320,136,4200
2,240,1470,137,1230
15,1000,2970,138,1970
5,1210,1250,139,40
8,370,2140,140,1770
8,1140,12260,141,11120
8,1010,9110,142,8100
2,1040,1250,143,210
7,290,4040,144,3750
0,380,640,145,260
3,1140,1510,146,370
12,1110,2760,147,1650
17,1250,1890,148,640
0,1420,3880,149,2460
12,1280,3340,150,2060
6,1080,1950,151,870
8,1230,1400,152,170
8,880,8150,153,7270
9,730,730,154,0
9,620,3450,155,2830
12,1330,1670,156,340
8,100,100,157,0
7,1070,1490,158,420
3,1260,4300,159,3040
2,670,4340,160,3670
