port,arrival_time,start_time,id,delay_time
11,870,1160,1,290
17,630,3520,2,2890
19,1320,1980,3,660
15,230,4690,4,4460
10,400,400,5,0
14,160,160,6,0
13,850,1810,7,960
12,370,1030,8,660
0,350,5840,9,5490
5,1280,4020,10,2740
0,100,2250,11,2150
16,1360,1710,12,350
8,920,3520,13,2600
4,700,1120,14,420
18,590,590,15,0
3,150,160,16,10
18,800,2090,17,1290
8,170,170,18,0
9,800,3630,19,2830
17,1230,1690,20,460
16,180,510,21,330
7,630,2030,22,1400
0,1270,3580,23,2310
14,510,510,24,0
0,250,250,25,0
6,1070,2840,26,1770
6,170,170,27,0
1,1300,1440,28,140
6,560,860,29,300
6,1030,1890,30,860
2,920,3610,31,2690
3,330,1880,32,1550
4,1030,1520,33,490
19,80,80,34,0
7,360,850,35,490
3,620,1010,36,390
19,200,950,37,750
16,380,400,38,20
3,590,2880,39,2290
2,1040,1230,40,190
12,650,4710,41,4060
4,460,600,42,140
13,500,4720,43,4220
0,1140,4510,44,3370
17,160,160,45,0
6,110,680,46,570
19,500,3510,47,3010
16,610,1120,48,510
0,870,3010,49,2140
16,1280,3430,50,2150
14,1310,3180,51,1870
5,180,180,52,0
2,1420,2250,53,830
9,1070,1320,54,250
3,1330,4500,55,3170
11,120,120,56,0
17,1410,1920,57,510
9,1340,5040,58,3700
2,500,640,59,140
4,1370,4380,60,3010
7,140,140,61,0
1,20,20,62,0
17,250,3700,63,3450
2,820,1290,64,470
10,640,3490,65,2850
17,540,1030,66,490
6,760,3790,67,3030
7,760,4510,68,3750
8,760,6520,69,5760
17,970,2660,70,1690
2,50,50,71,0
2,1260,1790,72,530
14,800,800,73,0
18,90,90,74,0
15,560,570,75,10
11,1090,1700,76,610
5,1140,1140,77,0
5,600,1920,78,1320
16,1060,2860,79,1800
0,640,680,80,40
13,160,580,81,420
4,780,2540,82,1760
11,1360,3510,83,2150
9,460,6230,84,5770
16,50,50,85,0
7,1430,1430,86,0
2,570,1850,87,1280
10,180,850,88,670
19,1270,2910,89,1640
8,1200,3390,90,2190
10,500,1980,91,1480
8,680,2250,92,1570
1,680,4740,93,4060
8,1400,5190,94,3790
15,730,1950,95,1220
16,620,1500,96,880
12,1370,1860,97,490
6,590,1430,98,840
9,890,2920,99,2030
17,150,890,100,740
4,660,1580,101,920
13,1340,3360,102,2020
8,970,980,103,10
19,770,2070,104,1300
10,1080,1430,105,350
8,830,6050,106,5220
2,1070,3200,107,2130
15,320,2820,108,2500
9,290,2340,109,2050
3,20,20,110,0
1,440,3260,111,2820
15,740,990,112,250
10,200,200,113,0
12,420,3600,114,3180
10,880,4290,115,3410
4,200,200,116,0
2,1120,4340,117,3220
1,130,2010,118,1880
7,960,2620,119,1660
11,170,4450,120,4280
0,820,1690,121,870
13,790,6050,122,5260
12,1180,4110,123,2930
10,1340,2470,124,1130
1,390,390,125,0
14,830,4730,126,3900
9,260,260,127,0
7,380,940,128,560
15,980,3670,129,2690
4,1200,2240,130,1040
5,1030,3110,131,2080
4,1300,3580,132,2280
2,610,5190,133,4580
3,60,490,134,430
0,420,4760,135,4340
12,120,120,136,0
15,240,240,137,0
3,1000,3650,138,2650
5,1210,2570,139,1360
8,370,1700,140,1330
8,1140,4080,141,2940
8,1010,2390,142,1380
9,1040,1160,143,120
7,290,3470,144,3180
4,380,700,145,320
11,1140,2680,146,1540
0,1110,1110,147,0
17,1250,2370,148,1120
12,1420,2790,149,1370
12,1280,2190,150,910
16,1080,2250,151,1170
14,1230,1610,152,380
14,880,1880,153,1000
0,730,910,154,180
9,620,1470,155,850
12,1330,1670,156,340
13,100,100,157,0
7,1070,1730,158,660
19,1260,4630,159,3370
9,670,4150,160,3480
