port,arrival_time,start_time,id,delay_time
8,690,2160,1,1470
5,800,800,2,0
14,130,130,3,0
8,910,3220,4,2310
2,90,90,5,0
3,970,970,6,0
17,240,240,7,0
11,480,480,8,0
12,1400,1610,9,210
19,1220,1220,10,0
19,230,230,11,0
8,1390,1670,12,280
11,980,980,13,0
1,340,340,14,0
4,1050,1050,15,0
9,300,300,16,0
8,980,1170,17,190
10,510,510,18,0
12,1400,2980,19,1580
6,870,870,20,0
0,1190,1480,21,290
13,610,1320,22,710
0,430,430,23,0
3,70,70,24,0
9,1350,1580,25,230
12,1380,2190,26,810
9,1210,1290,27,80
7,450,450,28,0
14,1010,1320,29,310
0,1060,1060,30,0
4,370,370,31,0
18,170,170,32,0
17,1170,1210,33,40
16,570,570,34,0
2,520,870,35,350
16,1090,1090,36,0
8,220,220,37,0
12,40,40,38,0
12,410,820,39,410
15,280,280,40,0
